100000	9592	8685.89	9628.76
200000	17984	16385.3	18035
300000	25997	23787.7	26085.6
400000	33860	31009.6	33921.6
500000	41538	38102.9	41605.2
600000	49098	45096.9	49171.7
700000	56543	52010.4	56643.5
800000	63951	58856.6	64035.9
900000	71274	65644.8	71360.6
1e+06	78498	72382.4	78626.1
1.1e+06	85714	79075.1	85839
1.2e+06	92938	85727.6	93004.9
1.3e+06	100021	92343.5	100128
1.4e+06	107126	98926.1	107213
1.5e+06	114155	105478	114261
1.6e+06	121127	112002	121277
1.7e+06	128141	118499	128262
1.8e+06	135072	124971	135219
1.9e+06	142029	131421	142148
2e+06	148933	137849	149053
